dt,channel,username,message
2022-03-09_00:07:39,m0ng0n,m0ng0n,test
2022-03-09_00:07:41,m0ng0n,m0ng0n,test
2022-03-09_00:07:43,m0ng0n,m0ng0n,dfd
2022-03-09_00:07:45,m0ng0n,m0ng0n,f
2022-03-09_00:07:45,m0ng0n,m0ng0n,"wefw"
2022-03-09_00:07:56,m0ng0n,m0ng0n,woooooo
2022-03-09_00:07:58,m0ng0n,m0ng0n,Yeahhhhh
2022-03-09_00:08:09,m0ng0n,m0ng0n,fe4e ef ef
2022-03-09_00:08:19,m0ng0n,m0ng0n,wefw
2022-03-09_00:08:26,m0ng0n,m0ng0n,"""wefw"
2022-03-09_00:08:48,m0ng0n,m0ng0n,"""wefw"""
2022-03-09_00:12:43,m0ng0n,m0ng0n,sus
2022-03-09_00:29:18,m0ng0n,m0ng0n,test
2022-03-09_00:32:47,m0ng0n,m0ng0n,test
2022-03-09_00:39:42,m0ng0n,m0ng0n,test
2022-03-09_01:08:34,m0ng0n,m0ng0n,ef
2022-03-09_01:08:34,m0ng0n,m0ng0n,ef
2022-03-09_01:08:35,m0ng0n,m0ng0n,ef
2022-03-09_01:08:46,m0ng0n,m0ng0n,tst
2022-03-09_01:08:48,m0ng0n,m0ng0n,testing
2022-03-09_01:11:07,m0ng0n,m0ng0n,test
2022-03-09_01:11:28,m0ng0n,m0ng0n,sus
2022-03-09_01:22:17,m0ng0n,m0ng0n,test
2022-03-09_01:22:33,m0ng0n,m0ng0n,sus
2022-03-09_01:23:39,m0ng0n,m0ng0n,sus
2022-03-09_01:23:41,m0ng0n,m0ng0n,sususus
2022-03-09_01:23:44,m0ng0n,m0ng0n,susususus
2022-03-09_01:47:12,m0ng0n,m0ng0n,sus
2022-03-09_01:49:51,m0ng0n,m0ng0n,test
2022-03-09_01:49:53,m0ng0n,m0ng0n,sus
2022-03-09_12:03:28,m0ng0n,m0ng0n,sus
2022-03-10_19:10:25,m0ng0n,m0ng0n,test
2022-03-10_19:10:29,m0ng0n,m0ng0n,..
2022-03-10_19:11:12,m0ng0n,m0ng0n,test
2022-03-10_19:11:28,m0ng0n,m0ng0n,..
2022-03-10_19:11:35,m0ng0n,m0ng0n,test
2022-03-10_19:11:44,m0ng0n,m0ng0n,test _ 1
2022-03-10_19:12:39,m0ng0n,m0ng0n,!wordcount name word
2022-03-10_19:12:45,m0ng0n,streamelements,name has said word RequestError: connect ECONNREFUSED 127.0.0.1:5000 times!
2022-03-10_19:13:36,m0ng0n,m0ng0n,!wordcount name word
2022-03-10_19:13:42,m0ng0n,streamelements,name has said word RequestError: connect ECONNREFUSED 127.0.0.1:5000 times!
2022-03-10_19:14:24,m0ng0n,m0ng0n,!wordcount name word
2022-03-10_19:14:30,m0ng0n,streamelements,name has said word RequestError: connect ECONNREFUSED 127.0.0.1:5000 times!
2022-03-10_19:17:43,m0ng0n,m0ng0n,!wordcount name word
2022-03-10_19:17:49,m0ng0n,streamelements,name has said word RequestError: connect ECONNREFUSED 0.0.0.0:5000 times!
2022-03-10_19:20:06,m0ng0n,m0ng0n,hello
2022-03-10_19:25:10,m0ng0n,m0ng0n,try
2022-03-10_19:25:11,m0ng0n,m0ng0n,ffef
2022-03-10_19:25:11,m0ng0n,m0ng0n,efe
2022-03-10_19:30:49,m0ng0n,m0ng0n,"test"
2022-03-10_19:34:07,m0ng0n,m0ng0n,f
2022-03-10_19:34:08,m0ng0n,m0ng0n,f
2022-03-10_19:34:08,m0ng0n,m0ng0n,f
2022-03-10_19:34:09,m0ng0n,m0ng0n,f
2022-03-10_19:35:01,m0ng0n,m0ng0n,etst
2022-03-10_19:35:01,m0ng0n,m0ng0n,e
2022-03-10_19:35:02,m0ng0n,m0ng0n,e
2022-03-10_19:35:02,m0ng0n,m0ng0n,e
2022-03-10_19:35:02,m0ng0n,m0ng0n,e
2022-03-10_19:35:02,m0ng0n,m0ng0n,e
2022-03-10_19:35:03,m0ng0n,m0ng0n,e
2022-03-10_19:35:03,m0ng0n,m0ng0n,e
2022-03-10_19:35:03,m0ng0n,m0ng0n,e
2022-03-10_19:35:03,m0ng0n,m0ng0n,f
2022-03-10_19:35:03,m0ng0n,m0ng0n,ef
2022-03-10_19:35:04,m0ng0n,m0ng0n,gfg
2022-03-10_19:35:05,m0ng0n,m0ng0n,fg
2022-03-10_19:35:05,m0ng0n,m0ng0n,f
2022-03-10_19:35:06,m0ng0n,m0ng0n,f
2022-03-10_19:35:07,m0ng0n,m0ng0n,fg
2022-03-10_19:35:07,m0ng0n,m0ng0n,g
2022-03-10_19:35:09,m0ng0n,m0ng0n,test
2022-03-10_19:35:10,m0ng0n,m0ng0n,test
2022-03-10_19:35:50,m0ng0n,m0ng0n,!wordcount name word
2022-03-10_19:35:57,m0ng0n,streamelements,name has said word RequestError: connect ECONNREFUSED 0.0.0.0:5000 times!
test,test,test,TEST
test,test,test,TEST
test,test,test,TEST
test,test,test,TEST
test,test,test,TEST
2022-03-12_22:44:49,m0ng0n,m0ng0n,test
2022-03-12_22:44:54,m0ng0n,m0ng0n,?
2022-03-12_22:44:56,m0ng0n,m0ng0n,oh
2022-03-12_22:44:58,m0ng0n,m0ng0n,ok
2022-03-12_22:45:00,m0ng0n,m0ng0n,cool
2022-03-12_22:47:03,m0ng0n,m0ng0n,test
2022-03-12_22:47:05,m0ng0n,m0ng0n,etst
2022-03-12_22:47:39,m0ng0n,m0ng0n,!wordcount m0ng0n test
2022-03-12_22:47:39,m0ng0n,streamelements,m0ng0n has said test 18 times!
2022-03-12_22:47:50,m0ng0n,m0ng0n,test
2022-03-12_22:48:01,m0ng0n,m0ng0n,!wordcount m0ng0n test
2022-03-12_22:48:01,m0ng0n,streamelements,m0ng0n has said test 20 times!
2022-03-12_22:48:48,m0ng0n,m0ng0n,!wordcout streamelements .
2022-03-12_22:48:56,m0ng0n,m0ng0n,!wordcount streamelements .
2022-03-12_22:48:56,m0ng0n,streamelements,streamelements has said . 7 times!
